product_id,product_name,category,brand,release_year
S001,Samsung Galaxy Tab S8 Ultra,Smartphone,Samsung,2023
S002,Samsung Galaxy Tab S8+,Smartphone,Samsung,2021
S003,Samsung Galaxy S23,Smartphone,Samsung,2023
S004,Samsung Galaxy Tab S8,Smartphone,Samsung,2023
S005,Samsung Galaxy A54,Smartphone,Samsung,2021
S006,Samsung Galaxy A04s,Smartphone,Samsung,2021
S007,Samsung Galaxy F54,Smartphone,Samsung,2023
S008,Samsung Galaxy Tab S8,Smartphone,Samsung,2022
S009,Samsung Galaxy A04s,Smartphone,Samsung,2023
S010,Samsung Galaxy F54,Smartphone,Samsung,2023
S011,Samsung Galaxy Tab S8+,Smartphone,Samsung,2023
S012,Samsung Galaxy A34,Smartphone,Samsung,2023
S013,Samsung Galaxy A54,Smartphone,Samsung,2021
S014,Samsung Galaxy M04,Smartphone,Samsung,2023
S015,Samsung Galaxy A24,Smartphone,Samsung,2022
S016,Samsung Galaxy F04,Smartphone,Samsung,2021
S017,Samsung Galaxy M34,Smartphone,Samsung,2022
S018,Samsung Galaxy A04s,Smartphone,Samsung,2022
S019,Samsung Galaxy A14,Smartphone,Samsung,2022
S020,Samsung Galaxy XCover6 Pro,Smartphone,Samsung,2022
S021,Samsung Galaxy Tab S8+,Smartphone,Samsung,2021
S022,Samsung Galaxy S23 Ultra,Smartphone,Samsung,2021
S023,Samsung Galaxy Tab S8 Ultra,Smartphone,Samsung,2022
S024,Samsung Galaxy Z Flip5,Smartphone,Samsung,2022
S025,Samsung Galaxy S23 Ultra,Smartphone,Samsung,2021
S026,Samsung Galaxy Z Flip5,Smartphone,Samsung,2021
S027,Samsung Galaxy XCover6 Pro,Smartphone,Samsung,2021
S028,Samsung Galaxy F14,Smartphone,Samsung,2023
S029,Samsung Galaxy Tab S8,Smartphone,Samsung,2023
S030,Samsung Galaxy M04,Smartphone,Samsung,2023
S031,Samsung Galaxy Z Flip5,Smartphone,Samsung,2022
S032,Samsung Galaxy A24,Smartphone,Samsung,2023
S033,Samsung Galaxy A34,Smartphone,Samsung,2022
S034,Samsung Galaxy M54,Smartphone,Samsung,2022
S035,Samsung Galaxy Tab S8+,Smartphone,Samsung,2023
S036,Samsung Galaxy A34,Smartphone,Samsung,2022
S037,Samsung Galaxy M54,Smartphone,Samsung,2023
S038,Samsung Galaxy A54,Smartphone,Samsung,2023
S039,Samsung Galaxy A34,Smartphone,Samsung,2021
S040,Samsung Galaxy M14,Smartphone,Samsung,2023
S041,Samsung Galaxy F04,Smartphone,Samsung,2021
S042,Samsung Galaxy S23+,Smartphone,Samsung,2023
S043,Samsung Galaxy S23,Smartphone,Samsung,2023
S044,Samsung Galaxy Z Flip5,Smartphone,Samsung,2021
S045,Samsung Galaxy XCover5,Smartphone,Samsung,2021
S046,Samsung Galaxy A24,Smartphone,Samsung,2023
S047,Samsung Galaxy M34,Smartphone,Samsung,2022
S048,Samsung Galaxy M34,Smartphone,Samsung,2021
S049,Samsung Galaxy Z Fold5,Smartphone,Samsung,2022
S050,Samsung Galaxy M54,Smartphone,Samsung,2022
S051,Samsung Galaxy Z Flip5,Smartphone,Samsung,2022
S052,Samsung Galaxy Tab S8 Ultra,Smartphone,Samsung,2021
S053,Samsung Galaxy M14,Smartphone,Samsung,2022
S054,Samsung Galaxy Z Fold5,Smartphone,Samsung,2021
S055,Samsung Galaxy Tab S8+,Smartphone,Samsung,2022
S056,Samsung Galaxy A04s,Smartphone,Samsung,2023
S057,Samsung Galaxy S23+,Smartphone,Samsung,2023
S058,Samsung Galaxy Tab S8,Smartphone,Samsung,2021
S059,Samsung Galaxy M34,Smartphone,Samsung,2023
S060,Samsung Galaxy S23,Smartphone,Samsung,2023
S061,Samsung Galaxy Tab S8 Ultra,Smartphone,Samsung,2022
S062,Samsung Galaxy Z Flip5,Smartphone,Samsung,2021
S063,Samsung Galaxy A34,Smartphone,Samsung,2022
S064,Samsung Galaxy A04s,Smartphone,Samsung,2022
S065,Samsung Galaxy S23,Smartphone,Samsung,2022
S066,Samsung Galaxy S23,Smartphone,Samsung,2022
S067,Samsung Galaxy F14,Smartphone,Samsung,2022
S068,Samsung Galaxy Tab S8 Ultra,Smartphone,Samsung,2022
S069,Samsung Galaxy F14,Smartphone,Samsung,2022
S070,Samsung Galaxy Tab S8+,Smartphone,Samsung,2021
S071,Samsung Galaxy A04s,Smartphone,Samsung,2023
S072,Samsung Galaxy M04,Smartphone,Samsung,2022
S073,Samsung Galaxy Tab S8 Ultra,Smartphone,Samsung,2022
S074,Samsung Galaxy A54,Smartphone,Samsung,2022
S075,Samsung Galaxy S23 Ultra,Smartphone,Samsung,2022
S076,Samsung Galaxy M54,Smartphone,Samsung,2022
S077,Samsung Galaxy F04,Smartphone,Samsung,2022
S078,Samsung Galaxy Z Flip5,Smartphone,Samsung,2023
S079,Samsung Galaxy A04s,Smartphone,Samsung,2023
S080,Samsung Galaxy M04,Smartphone,Samsung,2022
S081,Samsung Galaxy M04,Smartphone,Samsung,2023
S082,Samsung Galaxy Tab S8 Ultra,Smartphone,Samsung,2021
S083,Samsung Galaxy M54,Smartphone,Samsung,2022
S084,Samsung Galaxy M04,Smartphone,Samsung,2021
S085,Samsung Galaxy A54,Smartphone,Samsung,2021
S086,Samsung Galaxy M04,Smartphone,Samsung,2022
